model,organ,contrast_type,25%,Median,75%
MedFormer,kidney_right,Arterial,0.9231968820095062,0.9377937316894531,0.9478299766778946
MedFormer,kidney_right,Venous,0.9238247871398926,0.936665952205658,0.9473201036453248
MedFormer,liver,Arterial,0.9601073563098907,0.9658276736736298,0.9699704647064209
MedFormer,liver,Venous,0.9668332934379578,0.9710720181465148,0.974147617816925
MedFormer,pancreas,Arterial,0.8197118639945984,0.8553952574729919,0.8796070218086243
MedFormer,pancreas,Venous,0.8371596336364746,0.8689773678779602,0.8904532194137573
MedFormer,postcava,Arterial,0.7439530193805695,0.8115994334220886,0.858022004365921
MedFormer,postcava,Venous,0.7994845062494278,0.8509951829910278,0.8839110732078552
MedFormer,spleen,Arterial,0.9524575471878052,0.9621637165546417,0.9688165634870529
MedFormer,spleen,Venous,0.9545295536518097,0.9644598066806794,0.9712304919958115
MedFormer,stomach,Arterial,0.9276305437088013,0.9467889070510864,0.9572047889232635
MedFormer,stomach,Venous,0.9287388324737548,0.947071135044098,0.957840085029602
MedNeXt,aorta,Arterial,0.8638335317373276,0.9032613933086395,0.9192148447036743
MedNeXt,aorta,Venous,0.7247667163610458,0.7967281639575958,0.8847255557775497
MedNeXt,gall_bladder,Arterial,0.8282320201396942,0.877384215593338,0.9071685820817947
MedNeXt,gall_bladder,Venous,0.8529035449028015,0.8959735035896301,0.9236772060394288
MedNeXt,kidney_left,Arterial,0.9128681123256683,0.9254387021064758,0.9361190050840378
MedNeXt,kidney_left,Venous,0.9147545546293259,0.9276236891746521,0.9390598684549332
MedNeXt,kidney_right,Arterial,0.9233008623123168,0.9362281560897828,0.9469168186187744
MedNeXt,kidney_right,Venous,0.923499345779419,0.9356004595756532,0.9452019333839417
MedNeXt,liver,Arterial,0.9597846269607544,0.9654571413993835,0.9693844318389891
MedNeXt,liver,Venous,0.9656301140785216,0.9696013331413268,0.9728373885154724
MedNeXt,pancreas,Arterial,0.8223718106746674,0.855606347322464,0.8786104619503021
MedNeXt,pancreas,Venous,0.8404655456542969,0.8705257177352905,0.8906419277191162
MedNeXt,postcava,Arterial,0.7581987529993057,0.8110237717628479,0.8541005849838257
MedNeXt,postcava,Venous,0.7993771433830261,0.8466417789459229,0.8774522691965103
MedNeXt,spleen,Arterial,0.949331760406494,0.958293616771698,0.9652121663093568
MedNeXt,spleen,Venous,0.9518634974956514,0.9611013233661652,0.9673033952713014
MedNeXt,stomach,Arterial,0.9299198240041733,0.9477275013923646,0.9576851576566696
MedNeXt,stomach,Venous,0.9295809268951416,0.9477238059043884,0.9579474329948424
NexToU,aorta,Arterial,0.8852954059839249,0.9104341864585876,0.9244980067014694
NexToU,aorta,Venous,0.7897806316614151,0.8613848388195038,0.9009085148572922
NexToU,gall_bladder,Arterial,0.8055266290903091,0.8670670390129089,0.9034668952226639
NexToU,gall_bladder,Venous,0.8263774216175079,0.8878369927406311,0.9181454926729202
NexToU,kidney_left,Arterial,0.8969131857156754,0.9174609780311584,0.9310757666826249
NexToU,kidney_left,Venous,0.8958961963653564,0.9177196025848389,0.9327830970287323
NexToU,kidney_right,Arterial,0.9048038721084596,0.9277955889701844,0.941699206829071
NexToU,kidney_right,Venous,0.9027315974235535,0.9259079694747924,0.9401526749134064
NexToU,liver,Arterial,0.952677845954895,0.9608896374702454,0.965786635875702
