name,aorta,gall_bladder,kidney_left,kidney_right,liver,pancreas,postcava,spleen,stomach
BDMAP_A0000003,0.6097385287284851,,0.708149254322052,0.7750089764595032,0.6748573780059814,0.7579579949378967,0.6302052736282349,0.8744962811470032,0.6154923439025879
BDMAP_A0000004,0.6679026484489441,,0.7399134039878845,0.7062243819236755,0.793319582939148,0.701724648475647,0.5334094166755676,0.8915268778800964,0.7083914279937744
BDMAP_A0000006,0.8739342093467712,,0.6334012150764465,0.810997724533081,0.7229284644126892,0.6100082993507385,0.5804138779640198,0.9011582136154176,0.7826899886131287
BDMAP_A0000008,0.6472557187080383,0.7219486236572266,0.8546907305717468,0.7841107845306396,0.8321494460105896,0.6350432634353638,0.725172758102417,0.943471908569336,0.6672515273094177
BDMAP_A0000009,0.949581503868103,0.7031286954879761,0.7613990902900696,0.7542566657066345,0.8190622329711914,0.6217479705810547,0.6897059679031372,0.870206892490387,0.8272548317909241
BDMAP_A0000010,0.7029106020927429,0.8021240830421448,0.8161597847938538,0.8185223937034607,0.7786770462989807,0.7537349462509155,0.7834934592247009,0.9321213960647584,0.8252007961273193
BDMAP_A0000011,0.9040760397911072,0.8820070624351501,0.8184303045272827,0.8460798859596252,0.8268141150474548,0.6746959090232849,0.6942983865737915,0.9724946022033693,0.5347259044647217
BDMAP_A0000013,0.8651795983314514,,0.7652929425239563,0.8170235753059387,0.8055654168128967,0.6485092043876648,0.6957937479019165,0.8201982975006104,0.6254475712776184
BDMAP_A0000014,0.8402020931243896,,0.7027146816253662,0.6687147617340088,0.8657037615776062,0.0079160053282976,0.7283569574356079,0.8972383737564087,0.3864294290542602
BDMAP_A0000016,0.751999020576477,0.603026270866394,0.6760361790657043,0.7192273736000061,0.7236241102218628,0.6232055425643921,0.3174935281276703,0.7287683486938477,0.6932058930397034
BDMAP_A0000017,0.5802125930786133,0.7142001986503601,0.7482442259788513,0.793266236782074,0.7849634289741516,0.7335531115531921,0.6288642883300781,0.8860906958580017,0.801487386226654
BDMAP_A0000018,0.8460638523101807,0.5203540325164795,0.8707098364830017,0.8034905195236206,0.7947712540626526,0.5867128968238831,0.6616955399513245,0.9243117570877076,0.777259886264801
BDMAP_A0000022,0.8351537585258484,0.7650744915008545,0.8714430928230286,0.872870147228241,0.739062488079071,0.4032872915267944,0.6387307047843933,0.8755977749824524,0.5499694347381592
BDMAP_A0000024,0.8219202160835266,0.4825972616672516,0.8452072739601135,0.8121048808097839,0.7028854489326477,0.6599242091178894,0.6311879754066467,0.8039020299911499,0.6791732907295227
BDMAP_A0000025,0.7260119318962097,0.7172337770462036,0.7438434362411499,0.7546988725662231,0.7325318455696106,0.674341082572937,0.485113114118576,0.8472005128860474,0.7407256364822388
BDMAP_A0000026,0.8635414242744446,0.7408011555671692,0.8105999827384949,0.8896670937538147,0.8140620589256287,0.64582759141922,0.3748712241649627,0.8576806783676147,0.757825493812561
BDMAP_A0000028,0.9129806756973268,0.7989048361778259,0.8356619477272034,0.8944941759109497,0.7511911988258362,0.8235811591148376,0.8312234878540039,0.7481852173805237,0.7861990928649902
BDMAP_A0000029,0.9214008450508118,0.7346324920654297,0.7612214684486389,0.8474231958389282,0.8213884234428406,0.6632530093193054,0.7872344255447388,0.9655123353004456,0.7963219285011292
BDMAP_A0000031,0.9116740822792052,0.8492257595062256,0.866739809513092,0.9141896963119508,0.8554754853248596,0.7455559372901917,0.6320716738700867,0.863192081451416,0.8284375667572021
BDMAP_A0000036,0.8212345838546753,0.3295920193195343,0.8483914732933044,0.8423722982406616,0.7419342398643494,0.6504186987876892,0.4386934041976928,0.943486213684082,0.5317183136940002
BDMAP_A0000037,0.7956928610801697,0.6546344757080078,0.7847165465354919,0.7385026216506958,0.8117442727088928,0.8047055602073669,0.6800463795661926,0.807117223739624,0.7629356980323792
BDMAP_A0000040,0.907439351081848,0.961368441581726,0.834521472454071,0.8193312287330627,0.8804490566253662,0.7439928650856018,0.748038113117218,0.9339264631271362,0.8240658640861511
BDMAP_A0000041,0.7924081683158875,0.8934029340744019,0.6600016951560974,0.7366837859153748,0.833166241645813,0.5849127769470215,0.5974827408790588,0.8452494740486145,0.7375022172927856
BDMAP_A0000042,0.8330426216125488,0.6710445880889893,0.6629866361618042,0.721584677696228,0.8053150177001953,0.712182343006134,0.4526320993900299,0.706386923789978,0.7340486645698547
BDMAP_A0000043,0.901566207408905,,0.6173229217529297,0.8275173306465149,0.825195848941803,0.6162720918655396,0.6204473972320557,0.9474456906318665,0.7863920331001282
BDMAP_A0000046,0.8875012993812561,0.3219464421272278,0.6791422963142395,0.7513395547866821,0.7347273230552673,0.6404184699058533,0.698739767074585,,0.7069767713546753
BDMAP_A0000049,0.721885085105896,0.7385085225105286,0.7397030591964722,0.8478637337684631,0.6543327569961548,0.6447716355323792,0.4328138530254364,0.779664158821106,0.4875344932079315
BDMAP_A0000055,0.9189937114715576,0.7450817823410034,0.7720898985862732,0.8142759799957275,0.6551947593688965,0.6484186053276062,0.5452131628990173,0.7802233695983887,0.5480162501335144
BDMAP_A0000058,0.6547642350196838,,0.8489307165145874,0.8473838567733765,0.8074524998664856,0.6807063817977905,0.8012331128120422,0.831828236579895,0.7383409738540649
BDMAP_A0000060,0.8922435641288757,0.7049978375434875,0.8671925663948059,0.9041531682014464,0.7615811228752136,0.6690736413002014,0.7644350528717041,0.9702290296554564,0.8634764552116394
BDMAP_A0000064,0.9142088890075684,0.5991883277893066,0.8470603823661804,0.8993905186653137,0.6829628348350525,0.6068563461303711,0.5557472705841064,0.8251899480819702,0.7495589852333069
BDMAP_A0000066,0.737896740436554,,0.7691754698753357,0.7823125720024109,0.7555573582649231,0.0535039380192756,0.6478649973869324,0.8544063568115234,0.6204267144203186
BDMAP_A0000067,0.8553752303123474,0.5510658025741577,0.8223556280136108,0.8363859057426453,0.8215059638023376,0.5715842247009277,0.648506760597229,0.9258379936218262,0.8270853757858276
BDMAP_A0000070,0.7350236177444458,0.8497346043586731,0.7734821438789368,0.7554428577423096,0.7834607362747192,0.5522873401641846,0.5684219002723694,0.900718092918396,0.7135874629020691
BDMAP_A0000071,0.8979931473731995,0.6398844718933105,0.8863353729248047,0.8658797740936279,0.8020334839820862,0.6802322864532471,0.662297248840332,0.9602117538452148,0.85359126329422
BDMAP_A0000072,0.651944100856781,0.5757894515991211,0.659469723701477,0.6600425839424133,0.6016446352005005,0.6411988735198975,0.6951851844787598,0.8608577251434326,0.717438280582428
BDMAP_A0000073,0.9372381567955016,0.7886038422584534,0.8596839904785156,0.8953700661659241,0.7851892113685608,0.6068292260169983,0.5978835225105286,0.9540258049964904,0.8318213820457458
BDMAP_A0000074,0.8298066258430481,0.8766414523124695,0.8332939147949219,0.9106685519218444,0.6673715114593506,0.5958881378173828,0.5884084105491638,0.8960000872612,0.8265096545219421
BDMAP_A0000077,0.7372620701789856,0.7232430577278137,0.767865777015686,0.8128411769866943,0.7724473476409912,0.8133015632629395,0.6692721843719482,0.8966156840324402,0.7237380146980286
BDMAP_A0000079,0.8250545859336853,0.827234148979187,0.7134965062141418,0.687954843044281,0.7200078368186951,0.3502632975578308,0.6404212713241577,0.8963602781295776,0.5089674592018127
BDMAP_A0000080,0.8717870116233826,0.5873774886131287,0.8710647821426392,0.8617923855781555,0.7950436472892761,0.6880232691764832,0.6743532419204712,0.7802174091339111,0.8116930723190308
BDMAP_A0000083,0.9074917435646056,0.4100282788276672,0.818965494632721,0.8016573786735535,0.5846483111381531,0.6978811025619507,0.6053837537765503,0.5898846387863159,0.464614063501358
BDMAP_A0000084,0.7888254523277283,0.6175436973571777,0.8502700924873352,0.8230906128883362,0.7457827925682068,0.5172174572944641,0.5179288387298584,0.8077813386917114,0.657181441783905
BDMAP_A0000085,0.6764219999313354,0.881534218788147,0.8028171062469482,0.7505159974098206,0.7960594296455383,0.6481318473815918,0.6965302228927612,0.9186538457870485,0.6931852102279663
BDMAP_A0000086,0.8201730847358704,0.0124184135347604,0.7527557015419006,0.8318322896957397,0.7381101846694946,0.4936319887638092,0.6930454969406128,0.6537262201309204,0.7273217439651489
BDMAP_A0000088,0.8600243330001831,0.3679675161838531,0.5760985016822815,0.8816475868225098,0.7089043259620667,0.2345622330904007,0.4612263441085815,0.5454437732696533,0.6454192399978638
BDMAP_A0000089,0.7337268590927124,0.827401340007782,0.7879835367202759,0.7982918620109558,0.8422991037368774,0.6140241026878357,0.7604570984840393,0.9423167705535888,0.6950929164886475
BDMAP_A0000090,0.9179996252059937,0.7016640305519104,0.8383748531341553,0.8275390267372131,0.7341175079345703,0.7845974564552307,0.6609217524528503,0.8350709676742554,0.8213320374488831
BDMAP_A0000092,0.7467607259750366,0.9156275987625122,0.7990314960479736,,0.7484021186828613,0.6715338826179504,0.4775635004043579,0.8342478275299072,0.7287893891334534
BDMAP_A0000093,0.8572397232055664,0.6782007217407227,0.7298282384872437,0.7283381819725037,0.7927339673042297,0.7654743194580078,0.6529433131217957,0.9531044960021972,0.8650572299957275
BDMAP_A0000094,0.919363021850586,0.815748929977417,0.8231039643287659,0.81298828125,0.8121959567070007,0.7017965912818909,0.6569470167160034,0.8595269918441772,0.7461133003234863
BDMAP_A0000097,0.7773826122283936,,0.6555367112159729,0.7743750810623169,0.7083890438079834,0.6203855276107788,0.6055893898010254,0.7295886874198914,0.5717828869819641
BDMAP_A0000099,0.8730238080024719,0.7573961615562439,0.0,0.2032765001058578,0.6884366869926453,0.5911460518836975,0.5237141847610474,0.9364118576049804,0.6710149645805359
