name,aorta,gall_bladder,kidney_left,kidney_right,liver,pancreas,postcava,spleen,stomach
BDMAP_A0000001,0.9164642095565796,0.9066829085350036,0.9279676675796508,0.9466975331306458,0.9442598819732666,0.8903271555900574,0.7013826966285706,0.9369662404060364,0.9452698826789856
BDMAP_A0000002,0.9125521183013916,0.7717852592468262,0.9322953224182128,0.9481121301651,0.9558635354042052,0.8690518140792847,0.7020079493522644,0.959169864654541,0.94732928276062
BDMAP_A0000003,0.8912228941917419,,0.9139752984046936,0.9388165473937988,0.9653320908546448,0.872557520866394,0.8370696306228638,0.9654513597488404,0.9387192130088806
BDMAP_A0000004,0.8165246248245239,,0.8220730423927307,0.7373673319816589,0.9649003148078918,0.8922330737113953,0.6930677890777588,0.9672920107841492,0.9662221074104308
BDMAP_A0000005,0.9131367802619934,0.903070032596588,0.9192437529563904,0.907689929008484,0.9596735835075378,0.7777408361434937,0.7117722034454346,0.9605888724327089,0.9510127305984496
BDMAP_A0000006,0.9136955738067628,,0.837496817111969,0.8564318418502808,0.9526156783103944,0.7472794651985168,0.5965022444725037,0.9679816365242004,0.9566535949707032
BDMAP_A0000007,0.9241806268692015,0.7794963717460632,0.9227417707443236,0.9370192289352416,0.9495673179626464,0.8439304828643799,0.8876695036888123,0.9653374552726746,0.9371935129165648
BDMAP_A0000008,0.8916555047035217,0.8393107652664185,0.9289165735244752,0.905383288860321,0.9650598168373108,0.6468793153762817,0.7808536887168884,0.959991455078125,0.9493805766105652
BDMAP_A0000009,0.935037076473236,0.9099429845809937,0.9220304489135742,0.931596338748932,0.9628963470458984,0.7721137404441833,0.7718349695205688,0.9520245790481568,0.9554675817489624
BDMAP_A0000010,0.7836477756500244,0.9242344498634338,0.914441466331482,0.9130769968032836,0.967350423336029,0.87835693359375,0.8727095127105713,0.9579942226409912,0.9585224390029908
BDMAP_A0000011,0.9325113296508788,0.7005296349525452,0.8650003671646118,0.8978269696235657,0.957771062850952,0.6963090896606445,0.5969098806381226,0.9587750434875488,0.6599298715591431
BDMAP_A0000012,0.8994952440261841,0.8852835297584534,0.9451385140419006,0.9521531462669371,0.9440992474555968,0.7290831804275513,0.7993044257164001,0.9456827640533448,0.9517178535461426
BDMAP_A0000013,0.8868158459663391,,0.917127251625061,0.9409983158111572,0.9704307317733764,0.8286153674125671,0.8097420334815979,0.9435650110244752,0.9533286094665528
BDMAP_A0000014,0.9135547280311584,,0.5780434608459473,0.5333783626556396,0.9140195846557616,0.0006874477257952,0.7345119118690491,0.9474055767059326,0.7624493837356567
BDMAP_A0000015,0.9150383472442628,0.9172808527946472,0.9177545309066772,0.9210277199745178,0.96014404296875,0.9059018492698668,0.7701775431632996,0.968483567237854,0.9558773040771484
BDMAP_A0000016,0.90421324968338,0.7722772359848022,0.9154847264289856,0.9346588253974916,0.9524763822555542,0.6195013523101807,0.6579991579055786,0.933904469013214,0.9433997869491576
BDMAP_A0000017,0.7352861762046814,0.8765918612480164,0.895069420337677,0.9008105993270874,0.9616116881370544,0.8984981179237366,0.8125815391540527,0.9644771218299866,0.9447928071022034
BDMAP_A0000018,0.8998844623565674,0.7993392944335938,0.9211670756340028,0.8879678845405579,0.9549551010131836,0.5755006670951843,0.7545385956764221,0.959236979484558,0.9279482960700988
BDMAP_A0000019,0.9345964193344116,0.8096890449523926,0.9031870365142822,0.9579849243164062,0.9594783186912536,0.7866451144218445,0.8086313009262085,0.9662747383117676,0.9598838090896606
BDMAP_A0000020,0.8033996820449829,0.9381242394447328,0.8642480373382568,0.8671714067459106,0.9731271862983704,0.8807951807975769,0.6862114071846008,0.9572753310203552,0.932017982006073
BDMAP_A0000021,0.9148635268211364,0.934629499912262,0.8816612958908081,0.8879958987236023,0.966461718082428,0.468879759311676,0.871245801448822,0.961480677127838,0.94489324092865
BDMAP_A0000022,0.8899018168449402,0.9009791612625122,0.9437249898910522,0.9369114637374878,0.9453261494636536,0.7704591155052185,0.7333694696426392,0.9510408639907836,0.8781209588050842
BDMAP_A0000023,0.9197047352790833,,0.9398089051246644,0.9536684155464172,0.9493640065193176,0.580977737903595,0.8395769596099854,0.9632940888404846,0.9517425894737244
BDMAP_A0000024,0.8967351913452148,0.8234784603118896,0.9295384287834167,0.9305274486541748,0.9568307995796204,0.745080828666687,0.7736601829528809,0.962661623954773,0.8987691402435303
BDMAP_A0000025,0.9177642464637756,0.9201148748397828,0.8978259563446045,0.9078231453895568,0.9567705392837524,0.8018962740898132,0.695561945438385,0.9542608261108398,0.9578759670257568
BDMAP_A0000026,0.911141037940979,0.5561360120773315,0.917711615562439,0.9449394345283508,0.9573891162872314,0.6414806842803955,0.6912665367126465,0.9346032738685608,0.9615029096603394
BDMAP_A0000027,0.88310706615448,0.7754499912261963,0.9280677437782288,0.9286230206489564,0.959980607032776,0.835819661617279,0.7558110356330872,0.8385201096534729,0.9119411706924438
BDMAP_A0000028,0.9097539782524108,0.8814417719841003,0.934422254562378,0.9429614543914796,0.956211268901825,0.8684435486793518,0.8562374114990234,0.856577455997467,0.9605501294136048
BDMAP_A0000029,0.9200865030288696,0.7954095005989075,0.864269495010376,0.9272675514221193,0.9588993787765504,0.7790625095367432,0.7548381686210632,0.9632476568222046,0.955008029937744
BDMAP_A0000030,0.8978129029273987,,0.9492530226707458,0.9570731520652772,0.959380030632019,0.7218720316886902,0.8122170567512512,0.9666845202445984,0.9325175881385804
BDMAP_A0000031,0.9248763918876648,0.90413898229599,0.9273400902748108,0.9353118538856506,0.9703270196914672,0.7739430665969849,0.7525587677955627,0.9618740677833556,0.951611578464508
BDMAP_A0000032,0.9203565716743468,0.9112787246704102,0.9220112562179564,0.921463906764984,0.9613311290740968,0.8132906556129456,0.8580484390258789,0.961813986301422,0.9525775909423828
BDMAP_A0000033,0.9257266521453856,,0.9161630868911744,0.9293922781944276,0.9685173034667968,0.6219593286514282,0.7162225246429443,0.9605066776275636,0.960242748260498
BDMAP_A0000034,0.9245306849479676,0.8801355957984924,0.8637949824333191,0.8724069595336914,0.963508367538452,0.5913966298103333,0.609900951385498,0.945254683494568,0.9652913212776184
BDMAP_A0000035,0.9082593321800232,0.9093315601348876,0.6704880595207214,0.5456855297088623,0.9697431325912476,0.2573863863945007,0.7351635098457336,0.9602442383766174,0.9170061349868774
BDMAP_A0000036,0.910392999649048,0.7394846677780151,0.9393121004104614,0.9407591819763184,0.9569504857063292,0.7012456655502319,0.5897799134254456,0.9595649242401124,0.931278645992279
BDMAP_A0000037,0.926132082939148,0.8996918797492981,0.9134185314178468,0.9361228942871094,0.9683299660682678,0.8437147736549377,0.8253334164619446,0.964613914489746,0.9547799825668336
BDMAP_A0000038,0.8903076648712158,0.9073773622512816,0.9307519197463988,0.9416728019714355,0.9653253555297852,0.8740756511688232,0.8134335279464722,0.9563112258911132,0.7733762860298157
BDMAP_A0000039,0.907089352607727,0.8682175278663635,0.7613239288330078,0.8383969664573669,0.9531704783439636,0.7727006077766418,0.6799231171607971,0.956347107887268,0.9661293625831604
BDMAP_A0000040,0.9235328435897828,0.9568231701850892,0.9332833290100098,0.936158001422882,0.9696808457374572,0.840602695941925,0.8495500683784485,0.9658626914024352,0.9604980945587158
BDMAP_A0000041,0.9053727388381958,0.9264655709266664,0.9125840067863464,0.919884443283081,0.9670283794403076,0.7737716436386108,0.7140845656394958,0.9571580290794371,0.9508699774742126
BDMAP_A0000042,0.9181965589523317,0.9356301426887512,0.921566903591156,0.9237139821052552,0.958042860031128,0.8530080318450928,0.3493505716323852,0.9155651926994324,0.9634155631065368
BDMAP_A0000043,0.9104080200195312,,0.7275393605232239,0.8351312875747681,0.965495765209198,0.8051327466964722,0.7338711619377136,0.957513988018036,0.9538039565086364
BDMAP_A0000044,0.8963567018508911,,0.8963912725448608,0.9114340543746948,0.9639599919319152,0.5831065773963928,0.7236776947975159,0.961362600326538,0.8322259783744812
BDMAP_A0000045,0.9257871508598328,0.7714977264404297,0.9089273810386658,0.8952535390853882,0.967921018600464,0.841176450252533,0.8525711297988892,0.9438347816467284,0.8002643585205078
BDMAP_A0000046,0.9325511455535888,0.190210685133934,0.9114608764648438,0.9210600852966307,0.9422756433486938,0.780203640460968,0.8189783096313477,,0.9256370067596436
BDMAP_A0000047,0.9165630340576172,0.8783804774284363,0.91663920879364,0.921610713005066,0.9602128863334656,0.884870171546936,0.6134334802627563,0.94906747341156,0.8762285113334656
BDMAP_A0000048,0.9255404472351074,0.8943041563034058,0.9353845119476318,0.9469131231307985,0.9424355626106262,0.5390433073043823,0.81850665807724,0.9318682551383972,0.923578143119812
BDMAP_A0000049,0.9024420976638794,0.8659310936927795,0.9315261244773864,0.955105721950531,0.9554548859596252,0.8389391899108887,0.5693792104721069,0.9564774036407472,0.9137654304504396
BDMAP_A0000050,0.8640294671058655,,0.9155089855194092,0.934055507183075,0.9636825919151306,0.4623131453990936,0.8366671800613403,0.9680702090263368,0.9271350502967834
BDMAP_A0000051,0.928878903388977,0.8621494174003601,0.912776529788971,0.9198561310768129,0.957927703857422,0.6461251378059387,0.6603556275367737,0.965372622013092,0.924424946308136
BDMAP_A0000053,0.9276355504989624,0.7197406888008118,0.8995315432548523,0.9134172201156616,0.965516209602356,0.6600869297981262,0.8564116358757019,0.9664158225059508,0.91819429397583
BDMAP_A0000054,0.9310983419418336,0.8266502618789673,0.9009330868721008,0.938818097114563,0.959195911884308,0.8144809603691101,0.7586637735366821,0.914033830165863,0.911909282207489
BDMAP_A0000055,0.9265143871307372,0.8262732625007629,0.8949574828147888,0.9291496276855468,0.9437374472618104,0.6756411790847778,0.7435715198516846,0.938088059425354,0.908764898777008
BDMAP_A0000056,0.9195422530174256,0.8695098757743835,0.9406470656394958,0.9329444169998168,0.9504339694976808,0.8184889554977417,0.7741385698318481,0.9470664262771606,0.9149470925331116
