"algoRow","algoCol","pval","confidenceTier"
"MONAI_Swin_UNETR","MONAI_UCTransNet",6.79128660911063e-73,"<U+2265>99.99%"
"MONAI_UCTransNet","MONAI_UCTransNet",NA,NA
"MONAI_UNEST","MONAI_UCTransNet",1.04401338035344e-07,"<U+2265>99.99%"
"MONAI_UNETR","MONAI_UCTransNet",4.74364673113864e-198,"<U+2265>99.99%"
"Vision_Language_Swin_UNETR_CLIP","MONAI_UCTransNet",1.7036970650652e-87,"<U+2265>99.99%"
"Vision_Language_U-Net_CLIP","MONAI_UCTransNet",9.71785085579979e-128,"<U+2265>99.99%"
"_Diff-UNet","MONAI_UCTransNet",3.1213173627257e-187,"<U+2265>99.99%"
"_MedFormer","MONAI_UCTransNet",4.96424434012362e-144,"<U+2265>99.99%"
"_SAM-Adapter","MONAI_UCTransNet",0,"<U+2265>99.99%"
"nnU-Net_MedNeXt","MONAI_UCTransNet",0,"<U+2265>99.99%"
"nnU-Net_NexToU","MONAI_UCTransNet",2.57303582974265e-89,"<U+2265>99.99%"
"nnU-Net_ResEncL","MONAI_UCTransNet",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","MONAI_UCTransNet",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","MONAI_UCTransNet",5.03244373392552e-296,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","MONAI_UCTransNet",0,"<U+2265>99.99%"
"nnU-Net_U-Net","MONAI_UCTransNet",0,"<U+2265>99.99%"
"nnU-Net_UniSeg","MONAI_UCTransNet",1.15664639900234e-185,"<U+2265>99.99%"
"MONAI_LHU-Net","MONAI_UNEST",1.0212259541925e-168,"<U+2265>99.99%"
"MONAI_SegVol","MONAI_UNEST",5.69111728642167e-93,"<U+2265>99.99%"
"MONAI_Swin_UNETR","MONAI_UNEST",5.15379821399622e-92,"<U+2265>99.99%"
"MONAI_UCTransNet","MONAI_UNEST",1.04401338035344e-07,"<U+2265>99.99%"
"MONAI_UNEST","MONAI_UNEST",NA,NA
"MONAI_UNETR","MONAI_UNEST",4.29296035185978e-239,"<U+2265>99.99%"
"Vision_Language_Swin_UNETR_CLIP","MONAI_UNEST",2.76501198489395e-132,"<U+2265>99.99%"
"Vision_Language_U-Net_CLIP","MONAI_UNEST",4.50528459762264e-183,"<U+2265>99.99%"
"_Diff-UNet","MONAI_UNEST",9.72437943116882e-215,"<U+2265>99.99%"
"_MedFormer","MONAI_UNEST",3.92193954186005e-225,"<U+2265>99.99%"
"_SAM-Adapter","MONAI_UNEST",0,"<U+2265>99.99%"
"nnU-Net_MedNeXt","MONAI_UNEST",0,"<U+2265>99.99%"
"nnU-Net_NexToU","MONAI_UNEST",2.12428654324962e-123,"<U+2265>99.99%"
"nnU-Net_ResEncL","MONAI_UNEST",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","MONAI_UNEST",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","MONAI_UNEST",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","MONAI_UNEST",0,"<U+2265>99.99%"
"nnU-Net_U-Net","MONAI_UNEST",0,"<U+2265>99.99%"
"nnU-Net_UniSeg","MONAI_UNEST",2.42129178311866e-239,"<U+2265>99.99%"
"MONAI_LHU-Net","MONAI_UNETR",0,"<U+2265>99.99%"
"MONAI_SegVol","MONAI_UNETR",0,"<U+2265>99.99%"
"MONAI_Swin_UNETR","MONAI_UNETR",2.61287914380988e-100,"<U+2265>99.99%"
"MONAI_UCTransNet","MONAI_UNETR",4.74364673113864e-198,"<U+2265>99.99%"
"MONAI_UNEST","MONAI_UNETR",4.29296035185978e-239,"<U+2265>99.99%"
"MONAI_UNETR","MONAI_UNETR",NA,NA
"Vision_Language_Swin_UNETR_CLIP","MONAI_UNETR",0,"<U+2265>99.99%"
"Vision_Language_U-Net_CLIP","MONAI_UNETR",0,"<U+2265>99.99%"
"_Diff-UNet","MONAI_UNETR",0,"<U+2265>99.99%"
"_MedFormer","MONAI_UNETR",0,"<U+2265>99.99%"
"_SAM-Adapter","MONAI_UNETR",1.52494818720376e-137,"<U+2265>99.99%"
"nnU-Net_MedNeXt","MONAI_UNETR",0,"<U+2265>99.99%"
"nnU-Net_NexToU","MONAI_UNETR",2.47352585816712e-307,"<U+2265>99.99%"
"nnU-Net_ResEncL","MONAI_UNETR",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","MONAI_UNETR",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","MONAI_UNETR",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","MONAI_UNETR",0,"<U+2265>99.99%"
"nnU-Net_U-Net","MONAI_UNETR",0,"<U+2265>99.99%"
"nnU-Net_UniSeg","MONAI_UNETR",0,"<U+2265>99.99%"
"MONAI_LHU-Net","Vision_Language_Swin_UNETR_CLIP",1.39333182337866e-19,"<U+2265>99.99%"
"MONAI_SegVol","Vision_Language_Swin_UNETR_CLIP",2.31990884906341e-15,"<U+2265>99.99%"
"MONAI_Swin_UNETR","Vision_Language_Swin_UNETR_CLIP",5.20592146596862e-248,"<U+2265>99.99%"
"MONAI_UCTransNet","Vision_Language_Swin_UNETR_CLIP",1.7036970650652e-87,"<U+2265>99.99%"
"MONAI_UNEST","Vision_Language_Swin_UNETR_CLIP",2.76501198489395e-132,"<U+2265>99.99%"
"MONAI_UNETR","Vision_Language_Swin_UNETR_CLIP",0,"<U+2265>99.99%"
"Vision_Language_Swin_UNETR_CLIP","Vision_Language_Swin_UNETR_CLIP",NA,NA
"Vision_Language_U-Net_CLIP","Vision_Language_Swin_UNETR_CLIP",2.10753971371546e-18,"<U+2265>99.99%"
"_Diff-UNet","Vision_Language_Swin_UNETR_CLIP",1.21367387207549e-18,"<U+2265>99.99%"
"_MedFormer","Vision_Language_Swin_UNETR_CLIP",1.29457853363697e-20,"<U+2265>99.99%"
"_SAM-Adapter","Vision_Language_Swin_UNETR_CLIP",0,"<U+2265>99.99%"
"nnU-Net_MedNeXt","Vision_Language_Swin_UNETR_CLIP",3.21636371414496e-213,"<U+2265>99.99%"
"nnU-Net_NexToU","Vision_Language_Swin_UNETR_CLIP",0.0606130576698881,"<U+2265>90%"
"nnU-Net_ResEncL","Vision_Language_Swin_UNETR_CLIP",9.93489513823503e-230,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","Vision_Language_Swin_UNETR_CLIP",3.13662941711005e-255,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","Vision_Language_Swin_UNETR_CLIP",1.06631071824526e-213,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","Vision_Language_Swin_UNETR_CLIP",8.30246185014678e-229,"<U+2265>99.99%"
"nnU-Net_U-Net","Vision_Language_Swin_UNETR_CLIP",2.48831436184361e-203,"<U+2265>99.99%"
"nnU-Net_UniSeg","Vision_Language_Swin_UNETR_CLIP",2.00824846721849e-56,"<U+2265>99.99%"
"MONAI_LHU-Net","Vision_Language_U-Net_CLIP",0.170357307469581,"<U+2265>75%"
"MONAI_SegVol","Vision_Language_U-Net_CLIP",6.99330993870222e-48,"<U+2265>99.99%"
"MONAI_Swin_UNETR","Vision_Language_U-Net_CLIP",1.34016383407657e-280,"<U+2265>99.99%"
"MONAI_UCTransNet","Vision_Language_U-Net_CLIP",9.71785085579979e-128,"<U+2265>99.99%"
"MONAI_UNEST","Vision_Language_U-Net_CLIP",4.50528459762264e-183,"<U+2265>99.99%"
"MONAI_UNETR","Vision_Language_U-Net_CLIP",0,"<U+2265>99.99%"
"Vision_Language_Swin_UNETR_CLIP","Vision_Language_U-Net_CLIP",2.10753971371546e-18,"<U+2265>99.99%"
"Vision_Language_U-Net_CLIP","Vision_Language_U-Net_CLIP",NA,NA
"_Diff-UNet","Vision_Language_U-Net_CLIP",0.0115259712554551,"<U+2265>95%"
"_MedFormer","Vision_Language_U-Net_CLIP",0.3402948784803,"<75%"
"_SAM-Adapter","Vision_Language_U-Net_CLIP",0,"<U+2265>99.99%"
"nnU-Net_MedNeXt","Vision_Language_U-Net_CLIP",2.08647677448628e-118,"<U+2265>99.99%"
"nnU-Net_NexToU","Vision_Language_U-Net_CLIP",4.49735324239489e-16,"<U+2265>99.99%"
"nnU-Net_ResEncL","Vision_Language_U-Net_CLIP",3.71648600287249e-142,"<U+2265>99.99%"
